id,name,overallRating,foodRating,serviceRating,ambienceRating,valueRating,wyr,numReviews
"1","flexibility","5","4.454545454545454","4.454545454545454","4.454545454545454","4.181818181818182","81.81818181818181","11"
"2","THX","4","4.5","4.75","4.75","4","100","4"
"3","Global protocol B2C","4.375","4.25","4.875","4.875","4.625","87.5","8"
"4","Toys Landing","4.636363636363637","4.181818181818182","4.7272727272727275","4.454545454545454","4.363636363636363","72.72727272727273","11"
"5","Planner Computers Director","4.625","4.375","4.125","5","3.25","87.5","8"
"6","Sleek Granite Salad","4.4375","4.062500000000001","4.0625","4.6875","4.1875","87.5","16"
"7","Licensed","4.888888888888889","4.777777777777778","4.444444444444445","4.666666666666667","4.777777777777778","100","9"
"8","Naira payment productize","4.818181818181818","4.7272727272727275","4.818181818181818","4.2727272727272725","4.2727272727272725","81.81818181818181","11"
"9","mint green","3.25","4.5","3.75","4","4","50","4"
"10","Cheese Generic","4.571428571428571","4.071428571428571","4.285714285714286","4.214285714285714","4.357142857142858","85.71428571428571","14"
"11","tertiary Designer compress","4.294117647058823","4.647058823529411","4.176470588235294","4.470588235294118","4.588235294117647","82.3529411764706","17"
"12","approach Minnesota","4.7","4.4","4.5","3.8","4.4","80","10"
"13","Central Customer Persistent","4.25","4.875","4.5","4.625","4.375","87.5","8"
"14","back-end 1080p","4.7","4.5","4.1","4.8","4.3","80","10"
"15","Sleek Fresh Hat Directives","4.8","4.533333333333333","4.533333333333332","4.733333333333333","4","80","15"
"16","Dobra Corporate Jordan","5","4.25","4.5","4.25","4.75","75","4"
"17","Security Rubber Bacon","3.909090909090909","4.545454545454546","4.454545454545454","4.454545454545454","4.090909090909091","90.9090909090909","11"
"18","Chicken payment","4.411764705882353","4.352941176470588","4.705882352941177","4.0588235294117645","4.882352941176471","88.23529411764706","17"
"19","Sausages archive","3.5","4.666666666666667","4.833333333333333","4","4.833333333333333","66.66666666666667","6"
"20","architectures","4.5","4.75","4","4.5","4.5","87.5","8"
"21","Buckinghamshire withdrawal Gardens","4.4","4.6","4.2","4.2","4","80","5"
"22","Optimized Generic bypass","4.363636363636363","4.181818181818182","4","3.6363636363636362","4.363636363636363","81.81818181818181","11"
"23","Licensed Frozen Gloves New Mexico Vision-oriented","4.166666666666667","4.666666666666667","3.3333333333333335","4.166666666666667","4.5","100","6"
"24","parse","3.9375","4.5","4.437499999999999","4.6875","4.1875","68.75","16"
"25","redundant","4.666666666666667","4.266666666666667","4.666666666666667","4.733333333333333","4.266666666666667","86.66666666666667","15"
"26","Games backing up","4.25","4.75","4.5","5","4","50","4"
"27","Corners Egyptian Pound dynamic","4.666666666666667","3.4444444444444446","4.111111111111111","4.333333333333333","4.444444444444445","77.77777777777777","9"
"28","Sleek Money Market Account","4.6","4.466666666666667","4.733333333333333","4.666666666666667","4.266666666666667","73.33333333333333","15"
"29","JBOD connect","3.5","4","4.166666666666667","4.666666666666667","4.666666666666667","100","6"
"30","architectures website Burg","4.352941176470588","4.117647058823529","4.235294117647058","4.176470588235294","4.823529411764706","94.11764705882354","17"
"31","RSS capacitor supply-chains","4.470588235294118","4.176470588235294","4.9411764705882355","4.235294117647059","4.647058823529412","88.23529411764706","17"
"32","responsive","4","4.588235294117646","4.529411764705882","4.176470588235294","4.529411764705881","88.23529411764706","17"
"33","Beauty virtual Nevada","4.625","4.875","3.75","4.5","4.25","100","8"
"34","Tunnel","4.583333333333333","4.666666666666667","4.583333333333334","4.416666666666667","4.666666666666667","75.00000000000001","12"
"35","Unbranded Frozen Shoes Prairie web-enabled","4.8","5","4.8","5","3.6","80","5"
"36","Bacon","4.909090909090909","4.454545454545454","4.090909090909091","4.454545454545454","4.181818181818182","54.54545454545455","11"
"37","calculating Communications","3.6","4","4.8","4.4","4.6","40","5"
"38","Investment Account Personal Loan Account","4.8","3.2","4.4","4.8","3.4","100","5"
"39","Implementation","4","4.1","4.6","4.1","4.6","80","10"
"40","Concrete","3.5","4.666666666666667","4.333333333333333","4","3.5","83.33333333333333","6"
"41","Chief Sleek","4","4.142857142857143","3.857142857142857","4","4","57.142857142857146","7"
"42","Fantastic","4.25","4.166666666666667","4","3.6666666666666665","4.833333333333333","83.33333333333333","12"
"43","Incredible synthesizing El Salvador","3.6666666666666665","4.333333333333333","4.666666666666667","4.666666666666667","5","66.66666666666667","3"
"44","Horizontal Accounts","4.111111111111111","4.555555555555555","4.444444444444445","4.111111111111111","4.555555555555555","88.88888888888889","9"
"45","Wooden Manager port","4.5","5","3.25","5","4.5","100","4"
"46","pixel architect","5","5","4.8","5","4.2","80","5"
"47","HDD intranet Bedfordshire","4","5","5","4.5","4","100","4"
"48","teal product","4.733333333333333","4.133333333333334","4.333333333333334","4.466666666666667","4.333333333333332","80","15"
"49","Electronics Tokelau","4.111111111111111","4.555555555555555","4.666666666666667","4.888888888888889","4.555555555555555","88.88888888888889","9"
"50","Checking Account virtual","4.375","4.125","4.5","4.875","4.25","62.5","8"
"51","Borders capacitor","3.7857142857142856","4.285714285714286","4.428571428571429","4.571428571428571","4.714285714285714","64.28571428571429","14"
"52","Personal Loan Account","3.5","4.625","4.625","4.75","4","87.5","8"
"53","copy Secured Handcrafted","4.3076923076923075","4.076923076923077","4.615384615384616","4.6923076923076925","4.6923076923076925","92.3076923076923","13"
"54","Michigan","4.466666666666666","4.733333333333333","4.466666666666667","4.2","4.533333333333332","86.66666666666667","15"
"55","coherent Designer","4.357142857142856","4.57142857142857","4.285714285714286","4.285714285714286","4.428571428571429","85.71428571428571","14"
"56","scalable Berkshire","4.25","4.375","4.25","4.25","4.25","75","8"
"57","Gorgeous contextually-based","4.5","4.5","4.375","4.5","4.625","50","8"
"58","Tanzanian Shilling Corners","4","4","4","4.666666666666667","5","66.66666666666667","3"
"59","Dynamic Object-based Pants","4.2","4.8","4.2","5","4.4","80","5"
"60","quantify Kids withdrawal","4.666666666666667","4","4.75","3.8333333333333335","4.666666666666667","83.33333333333333","12"
"61","gold","4.333333333333333","4.666666666666667","4.066666666666666","4.466666666666667","4.733333333333333","80","15"
"62","Manager multi-byte Borders","4.625","3.9375","4.1875","4.0625","4.3125","68.75","16"
"63","sensor","4","5","4.428571428571429","4","3.857142857142857","85.71428571428571","7"
"64","metrics backing up","4.083333333333333","4.833333333333333","3.8333333333333335","5","4.666666666666667","66.66666666666667","12"
"65","mission-critical","3.6666666666666665","4.666666666666667","5","4.666666666666667","4","100","3"
"66","compress Handcrafted","4","4.8","4.2","4.4","4.2","80","5"
"67","one-to-one visualize","4.647058823529412","4.0588235294117645","4.647058823529412","4.882352941176471","4.588235294117646","88.23529411764706","17"
"68","upward-trending database","4.7272727272727275","4.2727272727272725","3.8181818181818183","4.7272727272727275","4","54.54545454545455","11"
"69","Practical withdrawal","4.571428571428571","4.142857142857143","4.428571428571429","4.142857142857143","4.714285714285714","100","7"
"70","XML brand payment","4.222222222222222","4.555555555555555","4.555555555555555","4.777777777777778","4.666666666666667","66.66666666666667","9"
"71","cross-platform Chief Alaska","4.583333333333334","4.25","4.666666666666667","4.833333333333333","4.083333333333333","91.66666666666667","12"
"72","Consultant Credit Card Account back-end","4.714285714285714","5","4.714285714285714","3.857142857142857","3.857142857142857","85.71428571428571","7"
"73","plug-and-play incremental","4.416666666666666","4.416666666666667","4.166666666666667","4.249999999999999","4.833333333333333","66.66666666666667","12"
"74","circuit Jewelery","4.666666666666667","4.466666666666667","4.4","4.4","4.2","93.33333333333333","15"
"75","haptic Cross-group turn-key","4.285714285714286","4.285714285714286","4.571428571428571","3.857142857142857","4.857142857142857","71.42857142857143","7"
"76","Chilean Peso Unidades de fomento Licensed","4.1","4.8","4.5","4.8","4.5","100","10"
"77","Cambridgeshire","4","4.25","4.125","4.75","4.25","87.5","8"
"78","haptic card invoice","4.8","4.6","4.6","4.8","4.8","60","5"
"79","transmitter Cheese","3.8333333333333335","4.5","4.333333333333333","4.833333333333333","4","83.33333333333333","6"
"80","Producer","4.666666666666667","4.666666666666667","4.666666666666667","4.333333333333333","4.333333333333333","66.66666666666667","3"
"81","Costa Rica","4.375","4.375","4.3125","4.437499999999999","4.5","68.75","16"
"82","clear-thinking","4.4","4.6","3.8","4.2","4.4","100","5"
"83","matrix systems matrix","4.499999999999999","4.833333333333333","4.25","4.666666666666667","4.333333333333333","91.66666666666667","12"
"84","matrix","4.533333333333333","4.466666666666667","4.4","4.4","4.133333333333334","73.33333333333333","15"
"85","Investment Account","4.733333333333333","3.8666666666666667","3.8","4.4","4.333333333333332","80","15"
"86","models Ohio","4.588235294117646","4.294117647058823","4.294117647058823","4.352941176470588","4.470588235294118","94.11764705882354","17"
"87","Missouri San Marino Licensed","4","4.090909090909091","4.636363636363637","4.545454545454546","4.818181818181818","81.81818181818181","11"
"88","interface Nakfa Games","3.6666666666666665","4.166666666666667","4","4.333333333333333","4.166666666666667","100","6"
"89","Trafficway Berkshire","4.75","4.5","3.5","4.375","4.25","50","8"
"90","copy","4.615384615384615","4.538461538461539","4.769230769230769","4.615384615384616","4.846153846153846","100","13"
"91","website","4.384615384615385","4.538461538461538","4.384615384615385","4.230769230769231","4.384615384615383","76.92307692307693","13"
"92","maximize","3.6666666666666665","3.6666666666666665","3.6666666666666665","5","4.333333333333333","66.66666666666667","3"
"93","AGP methodology quantifying","4.285714285714286","4.500000000000001","4.5","4.071428571428571","4.499999999999999","78.57142857142857","14"
"94","extranet visualize invoice","4.333333333333333","4.416666666666667","4.416666666666667","4.416666666666667","4.583333333333334","58.333333333333336","12"
"95","Fresh Infrastructure","4.333333333333333","4.666666666666667","5","3","4.666666666666667","66.66666666666667","3"
"96","deliverables","4.444444444444445","4","4.666666666666667","4.333333333333333","4","77.77777777777777","9"
"97","yellow rich","4.2","4","4.8","4.6","5","60","5"
"98","Distributed Granite Credit Card Account","4.111111111111111","4.222222222222222","4.666666666666667","3.888888888888889","4.777777777777778","100","9"
"99","copy Bike Guam","4.461538461538462","4.769230769230769","4.615384615384615","3.6923076923076925","3.8461538461538463","76.92307692307693","13"
"100","Surinam Dollar generate","4.166666666666667","4.5","4.666666666666667","4.833333333333333","4.166666666666667","83.33333333333333","6"